Platform,Total Time Spent,Number of Sessions,Engagement,Scroll Rate,Self Control,Addiction Level
Twitter,373.8,71.0,7.17,6.54,8.34,8.61
Instagram,99.69,105.14,4.53,4.35,3.2,3.84
Snapchat,84.49,69.29,3.17,4.96,6.01,2.96
Snapchat,265.15,87.17,6.44,8.65,4.83,7.95
Instagram,76.34,65.38,8.02,7.65,7.52,3.63
Twitter,116.33,95.16,4.31,6.32,5.81,3.74
Facebook,503.81,93.71,3.0,3.46,4.53,8.74
Snapchat,120.21,116.97,5.82,6.42,3.21,4.65
Instagram,42.43,76.49,5.83,8.13,6.6,2.84
YouTube,27.03,93.37,7.1,5.25,1.25,3.79
Instagram,37.11,81.96,7.9,8.7,6.29,3.25
YouTube,388.58,105.92,5.88,8.59,2.8,10.0
Twitter,105.09,65.62,9.71,9.33,7.5,5.1
Facebook,763.11,94.9,6.45,6.61,5.32,10.0
Instagram,455.54,76.11,5.31,7.17,6.29,10.0
Snapchat,582.96,78.72,2.78,8.83,5.16,10.0
Twitter,336.91,81.84,5.47,6.89,1.5,9.51
Instagram,255.46,85.04,5.33,5.0,3.28,6.6
Snapchat,81.78,77.68,7.92,5.1,6.34,3.26
Instagram,166.23,84.29,6.92,6.48,5.33,5.24
YouTube,273.7,111.56,3.64,3.42,7.36,4.62
Instagram,322.92,99.71,6.34,5.71,5.81,7.06
Instagram,58.45,97.38,7.34,8.19,3.07,4.36
Instagram,142.89,70.89,9.06,1.62,3.41,4.03
Twitter,156.22,62.22,7.78,9.07,5.21,6.69
Instagram,151.44,99.11,7.52,8.24,1.0,6.71
Snapchat,66.33,97.52,6.12,5.08,8.35,2.13
YouTube,538.9,109.45,6.78,7.09,5.88,10.0
YouTube,139.1,67.92,8.5,6.01,7.45,4.41
Instagram,70.95,75.41,3.33,8.46,1.84,4.52
Twitter,547.56,47.21,5.3,7.97,7.49,10.0
Twitter,455.83,72.15,4.45,3.2,9.46,7.03
Snapchat,185.52,99.93,6.76,7.17,2.36,6.45
Instagram,113.45,70.67,8.46,5.59,6.54,4.01
YouTube,33.93,92.81,4.81,6.17,5.0,2.66
Twitter,242.15,76.19,1.22,4.54,1.91,6.4
Instagram,106.92,86.48,5.18,9.5,5.99,4.43
Twitter,163.14,57.05,7.83,8.08,6.67,6.21
Twitter,516.13,81.7,7.08,4.52,3.8,10.0
YouTube,100.38,20.18,6.86,3.33,7.33,3.92
Facebook,234.81,76.26,5.44,5.23,1.67,7.03
Snapchat,286.42,47.39,3.44,6.87,2.01,9.89
Snapchat,380.54,104.12,7.03,6.48,5.27,8.5
YouTube,154.07,95.55,4.33,8.51,5.05,5.13
Twitter,141.73,89.33,10.0,7.58,3.57,6.07
Instagram,139.1,110.42,7.14,7.94,6.62,4.54
Twitter,218.73,61.02,4.84,6.65,6.06,6.4
YouTube,443.18,114.95,4.78,3.22,6.72,6.97
Snapchat,134.06,98.64,5.81,5.61,4.75,4.33
Twitter,8.72,75.27,5.52,8.12,6.21,2.22
Snapchat,308.83,102.71,8.23,5.9,4.11,7.6
Instagram,175.47,57.87,6.37,7.01,9.11,5.04
Snapchat,242.54,63.51,4.54,5.36,3.37,6.95
Snapchat,35.38,67.83,9.78,3.94,9.21,1.57
Facebook,107.27,69.42,6.1,5.75,5.07,4.14
Facebook,291.67,58.87,7.54,6.62,2.25,9.52
Facebook,51.52,104.46,4.78,4.69,7.74,1.87
Snapchat,234.43,74.82,6.73,5.53,5.25,6.24
YouTube,162.11,87.05,6.62,4.12,6.7,3.92
Snapchat,88.68,68.59,2.22,8.24,7.45,3.08
YouTube,82.42,43.59,10.0,5.41,5.68,4.23
YouTube,66.91,85.4,8.58,8.91,3.82,4.75
Facebook,174.76,41.75,5.21,9.06,6.95,7.4
Twitter,190.5,78.63,3.8,5.84,5.0,5.26
Instagram,123.63,52.63,6.7,3.98,6.37,3.79
Facebook,63.03,119.75,6.17,1.83,1.0,3.65
Facebook,229.62,98.23,6.71,3.06,5.89,4.65
Twitter,312.72,82.12,6.38,3.25,3.72,6.66
Instagram,260.06,105.27,7.01,8.76,8.31,6.5
Snapchat,598.39,63.07,8.89,6.23,6.25,10.0
Snapchat,144.15,90.87,7.14,6.78,5.48,4.84
Facebook,414.63,84.0,3.9,1.56,5.97,6.25
Instagram,96.41,85.28,8.73,3.6,3.0,4.1
Facebook,83.32,105.45,9.28,7.77,8.25,3.42
YouTube,183.01,94.65,10.0,6.57,8.98,4.72
Facebook,476.7,85.77,3.75,5.71,5.79,9.63
Facebook,131.76,46.9,6.49,7.13,8.18,4.79
Snapchat,35.35,60.8,1.84,9.27,3.86,3.07
Snapchat,308.65,77.55,7.11,5.56,3.41,8.07
Snapchat,156.82,81.87,4.9,6.14,5.08,4.82
YouTube,208.29,57.4,9.85,6.39,5.87,6.9
Snapchat,87.23,128.23,4.45,10.0,4.21,4.18
Instagram,181.72,110.33,2.62,1.8,6.08,3.39
Twitter,41.4,92.04,5.06,7.37,5.61,2.81
Instagram,544.34,81.44,2.05,5.77,3.0,10.0
Instagram,348.6,75.76,7.5,7.13,6.04,9.03
Snapchat,175.58,60.96,1.87,4.69,6.73,4.26
Twitter,302.78,81.55,6.06,5.9,5.34,7.33
Twitter,96.63,85.16,1.84,7.42,7.31,2.89
Twitter,338.13,55.16,5.36,10.0,2.57,10.0
YouTube,127.08,86.68,9.29,7.62,5.94,5.02
Snapchat,119.8,76.89,6.72,4.3,2.66,4.65
Twitter,71.27,41.84,4.27,5.15,2.77,4.2
YouTube,227.55,62.79,5.94,5.09,3.74,6.6
Facebook,169.81,71.73,6.04,2.41,3.12,4.62
Facebook,423.54,117.75,6.95,5.34,3.9,8.73
YouTube,63.69,91.13,3.27,7.47,4.57,3.27
YouTube,228.3,53.29,7.19,3.45,6.67,5.26
Snapchat,371.76,89.72,1.0,8.1,4.36,8.93
Snapchat,193.04,49.05,4.74,6.98,1.83,7.79
Facebook,125.1,101.65,5.02,4.53,7.28,3.08
Twitter,189.37,70.58,7.27,5.72,3.33,6.26
Facebook,401.2,78.13,6.05,9.2,4.88,10.0
Twitter,401.09,106.52,3.19,7.47,5.89,8.53
Twitter,151.88,54.26,4.03,6.02,5.4,5.07
Snapchat,396.44,52.06,6.4,5.52,7.19,9.72
Instagram,163.73,68.33,5.84,6.15,5.96,5.04
Instagram,300.45,100.77,4.84,4.98,3.28,6.99
YouTube,247.68,49.61,5.04,1.79,9.36,3.74
Snapchat,121.03,23.36,7.39,10.0,5.39,9.25
Twitter,73.69,70.98,4.96,6.31,4.71,3.61
Instagram,378.36,91.03,5.82,6.8,6.93,8.32
Twitter,450.32,104.01,10.0,5.88,5.5,9.58
Instagram,224.41,70.74,3.15,4.53,5.8,5.23
Instagram,163.56,71.77,2.3,5.63,9.98,3.18
Instagram,56.09,103.08,7.57,2.8,4.45,2.8
Snapchat,371.82,42.61,4.64,10.0,4.36,10.0
Facebook,205.98,72.23,5.36,3.53,5.23,4.88
Twitter,135.43,83.81,4.44,3.94,7.14,3.2
Snapchat,306.35,88.98,5.48,5.12,1.99,7.79
Snapchat,46.29,69.8,9.2,8.58,1.07,5.29
Snapchat,68.01,80.69,7.6,6.03,3.83,3.96
Snapchat,93.59,30.23,7.72,3.53,1.73,5.05
Snapchat,242.2,66.84,3.17,8.51,4.15,7.8
YouTube,190.94,89.07,3.7,7.46,6.0,5.26
Twitter,262.77,60.35,1.0,7.08,3.22,7.88
Snapchat,354.9,81.18,4.38,7.43,2.15,9.81
Twitter,269.45,88.94,7.91,10.0,5.14,8.77
YouTube,551.93,73.15,7.03,10.0,6.73,10.0
YouTube,354.34,83.41,5.56,4.63,1.61,8.54
Twitter,151.6,60.75,5.96,9.25,6.64,5.93
Instagram,106.67,75.87,4.62,6.77,6.63,3.65
Facebook,155.25,92.2,6.41,7.0,6.91,4.56
Instagram,276.06,83.14,7.53,2.62,7.44,4.79
Instagram,116.53,68.27,2.77,5.66,9.4,2.62
Instagram,281.4,84.48,6.6,4.37,4.29,6.56
Snapchat,259.4,94.29,7.86,7.66,5.22,7.34
YouTube,72.72,39.0,5.17,8.14,4.17,4.84
Instagram,349.85,103.18,7.4,1.85,5.0,5.9
YouTube,218.72,73.27,10.0,5.96,8.07,5.74
Twitter,534.42,88.51,5.79,8.24,2.31,10.0
Facebook,164.17,103.94,6.79,5.63,3.28,5.31
Twitter,130.51,52.57,4.52,7.46,7.75,4.51
Twitter,64.29,65.81,6.36,6.7,7.04,3.04
Snapchat,63.33,74.23,6.92,6.68,4.27,3.85
Facebook,321.92,64.32,6.39,5.46,6.71,7.64
Twitter,499.41,114.7,3.96,3.57,5.68,8.12
Twitter,153.54,62.86,6.41,3.76,8.0,3.53
Facebook,145.81,68.89,8.92,7.42,5.15,5.81
Facebook,175.87,84.09,6.9,6.04,7.05,4.74
Twitter,366.16,55.96,7.92,5.72,10.0,8.31
Facebook,73.32,72.09,5.53,5.15,6.2,2.97
Twitter,199.37,86.35,7.5,5.39,5.1,5.52
Twitter,326.93,73.34,6.56,8.09,6.44,9.01
Snapchat,240.09,78.13,4.1,5.33,4.27,6.19
Instagram,4.59,69.41,6.64,3.32,9.78,1.0
Twitter,270.39,49.71,4.02,7.49,5.36,8.77
YouTube,241.76,86.43,4.73,5.59,4.45,6.17
Instagram,414.34,115.1,6.38,6.06,3.33,9.1
Instagram,473.48,80.37,6.59,9.22,7.19,10.0
Instagram,400.58,84.51,3.62,5.96,6.73,8.24
Snapchat,176.6,93.85,8.11,6.58,4.01,5.87
Twitter,33.6,54.61,7.14,3.64,6.15,2.23
Snapchat,144.98,114.05,4.59,5.56,1.98,5.07
Twitter,172.36,84.05,2.92,7.22,5.37,5.02
Snapchat,495.24,112.64,5.71,2.89,5.91,7.78
Snapchat,88.02,65.34,5.11,6.4,8.41,2.87
YouTube,47.74,116.36,6.23,6.2,3.46,3.47
Snapchat,117.16,95.5,5.27,6.08,2.44,4.83
Facebook,92.3,91.06,1.99,8.07,3.21,4.1
YouTube,43.06,84.68,5.22,6.67,2.33,3.77
Snapchat,156.17,75.03,5.39,8.96,7.67,5.09
Instagram,177.54,104.01,7.27,4.01,8.1,3.61
Facebook,40.43,82.81,4.6,6.27,5.64,2.6
Facebook,129.85,40.66,9.36,6.17,7.44,5.19
Facebook,87.2,57.66,2.18,3.86,5.27,3.04
YouTube,181.96,76.28,8.62,7.91,4.81,6.63
Snapchat,195.73,86.2,5.55,10.0,4.33,7.04
Snapchat,87.22,78.87,7.72,5.97,4.38,4.14
Instagram,347.75,104.38,6.16,7.01,1.9,9.11
Instagram,169.43,40.98,8.28,6.17,5.53,6.61
Facebook,90.92,82.87,5.23,4.57,4.92,3.41
Instagram,37.67,43.64,3.8,2.36,6.49,1.81
YouTube,203.59,95.19,8.84,4.59,5.19,5.27
Snapchat,241.35,78.11,5.77,3.22,4.67,5.38
Facebook,111.76,88.39,6.44,9.41,3.26,5.54
Instagram,186.34,62.72,8.47,5.77,5.14,6.01
YouTube,473.47,105.59,3.94,5.31,6.48,8.59
YouTube,311.33,100.83,7.19,7.78,2.71,8.82
Instagram,14.63,91.67,4.82,3.76,5.17,2.02
Snapchat,90.0,77.41,5.74,4.47,5.47,3.29
Instagram,150.29,91.6,6.14,6.14,3.56,5.19
Facebook,176.79,65.86,3.0,8.06,3.82,6.27
Instagram,189.4,97.11,4.44,7.0,5.46,5.24
YouTube,230.48,112.99,8.7,6.5,2.73,6.94
Instagram,154.26,101.41,7.77,6.16,5.7,4.73
Snapchat,169.11,65.41,5.87,6.8,3.21,6.29
Twitter,322.48,87.23,6.49,6.4,7.13,7.29
Instagram,206.55,54.14,5.41,3.94,9.68,4.09
Snapchat,58.32,91.45,8.71,6.09,3.28,4.05
Snapchat,181.08,89.01,5.6,3.85,6.07,4.21
YouTube,150.62,42.6,6.46,6.16,3.55,6.42
Snapchat,22.65,56.76,8.29,5.04,7.08,2.14
Snapchat,188.17,74.34,4.45,10.0,2.47,7.56
Snapchat,66.08,73.98,9.12,5.92,5.96,3.48
Snapchat,325.77,55.81,2.94,3.19,3.25,7.33
Facebook,228.12,87.78,9.26,5.73,4.59,6.46
Facebook,55.18,85.03,5.25,7.04,2.94,3.87
YouTube,315.72,76.11,5.51,9.35,6.64,9.07
Instagram,418.81,64.88,2.22,4.82,3.33,9.52
Snapchat,136.43,100.97,5.09,2.84,6.1,3.2
Instagram,149.92,113.11,3.92,7.63,4.31,4.82
Instagram,294.78,70.33,4.78,3.24,4.77,6.18
YouTube,398.13,67.76,5.73,5.13,5.3,8.99
Snapchat,30.99,89.82,7.92,5.48,3.48,3.32
Snapchat,61.77,72.84,6.42,5.86,5.42,3.24
Twitter,119.06,77.21,6.62,7.38,8.06,3.89
Instagram,129.98,94.79,3.81,4.63,3.44,4.25
Instagram,288.94,41.81,4.24,5.45,7.34,7.92
Facebook,399.51,106.37,9.6,5.97,8.0,7.99
Twitter,419.58,81.45,4.53,6.3,3.37,10.0
Facebook,30.11,71.77,9.31,6.2,2.09,4.09
Facebook,82.78,78.22,5.51,6.87,5.6,3.63
Facebook,101.28,79.25,6.0,7.69,3.91,4.75
YouTube,82.47,45.38,8.14,6.79,8.74,3.54
YouTube,227.63,109.9,8.54,6.91,5.07,6.37
Facebook,247.61,80.83,5.78,2.84,3.4,5.65
Twitter,167.5,88.86,5.22,6.1,2.71,5.65
Instagram,155.52,99.03,5.89,6.96,7.18,4.31
Twitter,123.32,59.58,6.68,7.46,3.86,5.62
Snapchat,135.44,89.47,7.78,4.62,5.09,4.25
YouTube,469.96,74.65,6.01,4.68,6.91,9.14
Instagram,273.81,96.94,7.24,4.85,4.03,6.6
Instagram,127.18,37.46,9.28,7.07,4.91,6.51
Snapchat,153.19,78.02,6.76,8.07,4.97,5.72
Snapchat,231.41,67.94,6.62,5.19,6.37,5.86
Facebook,55.16,88.65,2.96,7.82,6.18,2.65
YouTube,185.81,89.4,1.0,6.25,4.56,4.91
YouTube,263.35,65.85,6.78,5.75,5.13,7.18
Twitter,240.05,65.76,5.81,5.58,4.26,6.81
Facebook,84.25,77.79,4.97,7.49,2.04,4.79
Facebook,98.68,62.07,6.49,6.65,5.52,4.25
Facebook,19.48,96.84,5.88,10.0,8.78,1.94
Facebook,283.07,72.62,8.26,4.3,3.23,7.24
YouTube,603.42,21.86,6.17,7.04,3.45,10.0
YouTube,73.92,72.5,4.51,4.94,3.26,3.71
Facebook,353.03,59.23,7.98,4.26,6.45,7.82
Twitter,568.87,47.37,5.57,5.98,5.9,10.0
Instagram,113.52,55.25,7.05,6.27,4.68,4.9
Instagram,153.36,82.19,5.05,10.0,3.16,6.46
Twitter,201.62,106.57,4.7,5.63,5.18,5.06
Facebook,234.63,86.26,6.17,3.74,1.87,6.26
YouTube,209.68,67.87,6.03,6.55,5.29,6.32
Instagram,121.05,89.12,6.96,1.85,6.74,2.7
Snapchat,260.48,70.82,5.46,5.82,2.5,7.63
Snapchat,123.36,66.11,2.33,6.03,1.93,5.06
Twitter,220.24,56.91,5.13,7.59,8.16,6.47
Facebook,162.92,44.96,7.59,7.95,3.78,7.58
Instagram,26.57,72.2,5.41,4.99,7.27,1.81
Facebook,388.43,83.16,5.51,5.7,4.69,8.77
Instagram,100.99,78.07,7.97,4.47,4.68,3.9
Twitter,414.52,71.68,4.58,3.74,5.88,7.89
Twitter,343.56,61.09,2.91,6.62,3.23,9.57
Snapchat,197.18,92.16,5.68,3.45,5.26,4.52
Facebook,243.4,53.66,5.03,5.17,4.24,7.03
Snapchat,264.61,95.52,4.07,4.01,2.36,6.38
Facebook,142.47,59.96,5.65,7.1,5.67,5.21
Snapchat,147.89,64.95,6.98,9.6,4.47,6.66
YouTube,255.64,50.66,5.98,3.4,4.69,6.27
YouTube,164.26,69.97,6.61,2.29,2.58,4.71
YouTube,121.37,99.51,9.63,5.75,8.18,3.57
YouTube,85.48,90.31,5.31,6.03,6.75,3.04
Instagram,224.93,99.57,6.56,6.44,6.93,5.47
YouTube,98.14,90.44,4.98,5.11,4.39,3.73
Twitter,304.63,57.93,4.31,5.6,1.54,9.01
Twitter,322.48,73.38,4.83,6.74,8.91,7.16
Instagram,242.07,64.4,5.04,8.08,4.88,7.81
YouTube,278.9,106.61,6.72,2.09,3.5,5.57
YouTube,242.58,56.06,10.0,5.26,5.83,7.0
YouTube,292.83,97.87,4.57,6.43,7.33,6.24
Snapchat,284.24,97.86,5.17,4.16,4.95,6.0
Facebook,216.28,116.59,5.87,9.46,7.56,5.76
Snapchat,346.51,71.81,6.79,4.73,7.17,7.24
Facebook,146.49,94.25,6.53,5.92,2.85,5.3
YouTube,87.81,125.63,8.57,7.11,3.65,4.5
YouTube,83.87,67.65,1.15,4.82,6.92,2.47
Snapchat,129.99,49.3,1.23,2.31,1.0,4.66
Snapchat,22.25,42.4,5.01,5.14,4.7,2.6
Facebook,195.75,94.25,8.19,8.06,2.14,7.31
Twitter,267.08,42.34,2.87,5.33,4.05,8.12
Facebook,319.37,72.55,1.0,4.31,4.4,6.86
Snapchat,33.35,88.75,7.14,7.85,4.28,3.47
Snapchat,86.32,83.7,6.49,5.34,3.9,3.94
Instagram,298.32,88.51,3.82,4.98,2.81,7.2
Snapchat,142.88,84.45,4.03,6.3,9.58,3.13
Instagram,262.89,105.58,4.06,7.54,8.73,5.5
Twitter,52.41,60.95,6.22,10.0,2.68,4.83
Facebook,411.27,66.46,4.75,7.65,8.16,10.0
Facebook,48.37,64.55,6.99,8.32,4.2,4.01
Instagram,191.55,96.6,1.0,4.99,5.26,4.43
Facebook,195.23,98.01,4.29,3.95,4.87,4.62
Snapchat,110.91,89.02,3.75,6.12,3.68,4.23
YouTube,236.04,103.67,5.49,6.21,6.97,5.37
Instagram,240.81,56.44,4.92,3.84,5.25,5.85
Facebook,222.63,113.34,7.6,5.65,4.05,5.98
Instagram,109.22,110.46,2.28,6.8,2.39,4.36
Instagram,92.11,94.71,6.09,6.72,3.21,4.43
YouTube,119.22,115.64,7.12,7.01,1.72,5.4
Snapchat,81.44,46.87,9.71,6.58,5.02,4.73
Instagram,357.32,69.51,5.04,4.99,2.61,8.86
Facebook,127.82,65.29,6.65,4.97,4.47,4.57
Twitter,187.52,94.43,2.39,3.6,7.74,3.44
Instagram,297.49,59.0,1.22,9.57,7.4,8.81
Instagram,77.91,95.15,7.69,6.03,4.94,3.72
YouTube,46.3,107.41,5.99,5.55,4.83,2.92
Snapchat,81.7,93.9,8.36,4.14,8.76,2.24
Twitter,202.91,85.68,3.25,10.0,6.04,6.24
Facebook,192.93,60.24,7.04,3.85,4.34,5.4
Twitter,222.33,63.06,9.74,5.14,2.15,7.39
Facebook,153.69,104.99,6.84,6.83,5.79,4.74
Snapchat,8.46,95.59,6.55,7.2,6.66,2.09
Facebook,149.93,79.22,6.02,7.92,3.74,5.83
YouTube,324.95,71.64,2.86,9.62,5.58,9.49
YouTube,382.6,39.48,8.71,7.01,4.27,10.0
YouTube,178.38,58.58,4.78,3.89,4.63,4.95
YouTube,193.46,118.23,7.01,5.49,1.0,6.3
Twitter,259.47,54.39,2.87,6.62,4.56,7.76
Snapchat,375.4,83.79,3.64,10.0,6.94,9.88
Facebook,166.73,100.15,8.87,3.2,3.74,4.65
Facebook,256.95,54.9,5.31,8.41,5.11,8.86
YouTube,105.22,83.69,8.91,6.36,3.49,4.94
YouTube,53.53,98.76,5.84,7.68,5.72,3.13
Instagram,114.73,80.25,2.32,5.8,4.57,3.87
Snapchat,433.29,137.37,7.78,4.32,3.12,8.43
Twitter,260.59,46.63,4.82,7.5,7.67,8.22
Facebook,58.64,101.17,7.4,7.31,6.86,3.03
Instagram,269.07,76.54,6.05,7.94,3.79,8.31
Instagram,63.05,95.44,2.91,5.97,6.0,2.57
Facebook,220.14,88.83,6.33,4.8,6.07,5.18
Twitter,75.23,65.34,10.0,2.88,6.28,2.78
Instagram,55.44,84.58,6.99,7.64,1.61,4.64
Instagram,481.4,42.84,5.88,6.85,7.01,10.0
Snapchat,127.74,92.06,8.15,4.07,3.86,4.35
Twitter,257.3,85.96,6.42,4.92,4.28,6.39
Instagram,172.01,92.77,6.42,5.07,10.0,3.31
Twitter,67.88,101.16,3.82,3.03,5.6,2.43
Facebook,138.86,87.35,6.47,4.36,4.23,4.38
YouTube,68.43,82.96,8.07,3.73,1.0,4.29
Instagram,712.45,62.38,4.33,5.18,7.78,10.0
Snapchat,289.86,65.76,8.85,4.52,2.31,8.0
Facebook,169.58,103.73,5.82,2.75,2.99,4.57
Twitter,247.75,108.73,4.22,10.0,4.34,7.3
Facebook,277.13,75.24,8.0,8.51,7.83,7.91
Instagram,277.64,80.92,5.43,4.44,6.55,5.82
Twitter,269.5,61.91,7.52,6.54,4.68,8.12
YouTube,255.34,103.46,5.42,6.83,5.62,6.3
Facebook,180.17,93.31,5.88,8.38,3.8,6.27
Instagram,457.29,118.82,6.99,4.36,5.28,8.28
Snapchat,188.85,62.43,6.58,8.18,5.15,6.9
Twitter,173.32,72.44,2.01,4.9,6.94,4.02
Facebook,190.06,84.63,3.76,3.33,6.93,3.82
Facebook,200.19,92.93,7.86,7.45,5.99,5.98
YouTube,33.65,75.69,5.74,8.58,4.28,3.42
YouTube,80.96,62.54,4.95,10.0,6.48,4.15
Snapchat,153.69,97.63,3.28,3.6,4.82,3.9
Snapchat,31.81,94.42,3.84,7.4,2.84,3.28
Instagram,169.38,61.67,1.96,5.18,4.19,5.06
Instagram,198.26,107.11,5.8,7.57,5.17,5.71
Snapchat,51.17,103.4,4.8,3.06,6.82,1.91
Snapchat,99.09,82.69,4.07,3.47,4.63,3.3
Twitter,392.92,81.59,5.86,4.45,2.58,8.82
YouTube,249.53,91.08,6.73,6.16,5.11,6.48
Instagram,239.62,62.77,10.0,4.72,5.23,6.57
YouTube,361.44,80.6,2.98,7.32,5.37,8.72
YouTube,82.37,36.95,8.32,8.05,6.84,4.91
Snapchat,51.32,97.53,7.95,7.2,7.04,2.92
Twitter,329.39,48.77,4.44,9.24,3.81,10.0
Facebook,157.05,110.07,6.41,6.83,3.77,5.29
Twitter,80.43,73.4,5.08,3.57,2.92,3.68
Twitter,33.35,75.77,6.37,8.73,6.4,2.91
YouTube,191.67,67.45,9.02,4.79,7.9,4.77
Twitter,143.32,74.24,7.21,7.82,4.37,5.76
Instagram,124.65,108.37,7.02,9.15,4.52,5.23
YouTube,13.15,30.24,5.14,6.91,7.93,1.76
Instagram,453.36,105.54,3.03,3.01,6.01,7.2
Facebook,42.14,86.76,5.58,4.16,5.87,2.33
YouTube,134.56,55.86,8.41,8.65,2.62,7.1
Facebook,117.17,58.49,2.95,5.66,6.36,3.73
YouTube,254.78,113.53,3.89,6.16,3.14,6.47
Snapchat,33.77,61.09,6.25,7.52,2.73,3.87
Twitter,233.74,56.93,4.03,7.39,4.31,7.68
Snapchat,192.38,102.75,4.41,6.56,3.83,5.58
Facebook,94.98,86.77,5.15,5.58,4.56,3.77
Twitter,227.92,61.24,3.27,5.37,2.12,7.0
YouTube,169.15,84.33,4.05,7.72,6.92,4.79
Twitter,524.98,59.48,7.41,7.11,7.26,10.0
Instagram,143.22,102.02,3.39,5.49,1.11,5.24
Twitter,71.17,101.23,2.8,8.16,6.96,2.66
Instagram,235.4,90.64,4.74,5.74,3.38,6.38
Twitter,129.43,87.23,7.46,4.3,6.71,3.56
Instagram,166.58,115.22,5.61,4.48,4.86,4.36
Facebook,51.75,79.99,5.07,4.04,5.06,2.67
Snapchat,257.52,56.36,6.09,5.46,4.63,7.34
YouTube,113.05,88.99,2.51,8.47,7.42,3.4
Twitter,203.4,121.72,6.99,4.39,2.52,5.62
Snapchat,611.26,59.7,6.77,6.38,6.22,10.0
YouTube,136.77,72.77,5.18,4.69,7.2,3.57
YouTube,282.38,88.33,8.01,5.48,6.43,6.52
Instagram,144.35,78.92,3.75,2.98,9.65,2.32
Facebook,96.1,60.35,8.26,5.56,3.94,4.58
Facebook,402.06,102.44,6.31,5.61,6.91,7.86
Snapchat,23.17,126.4,5.33,7.08,4.79,2.68
Facebook,333.51,83.92,5.96,6.45,7.47,7.43
Twitter,19.77,61.92,5.79,3.6,4.98,2.23
Facebook,310.5,49.02,8.44,8.17,4.22,10.0
Snapchat,168.52,85.16,3.85,6.42,7.61,4.17
Facebook,71.36,102.08,4.47,6.4,4.02,3.53
Twitter,119.45,89.5,8.07,5.98,2.17,5.31
Instagram,271.9,79.95,4.81,4.96,3.97,6.69
Snapchat,574.18,68.21,7.8,6.44,6.24,10.0
Instagram,35.31,58.16,9.4,6.95,7.78,2.75
Instagram,75.48,96.7,5.2,2.51,5.22,2.64
Instagram,47.16,98.28,7.36,4.92,7.64,2.14
YouTube,143.42,49.09,3.69,5.49,2.28,5.76
YouTube,316.21,111.8,7.51,6.51,4.11,7.75
Instagram,40.75,91.48,6.4,8.39,4.42,3.53
Snapchat,165.11,107.99,6.95,4.46,4.77,4.52
Twitter,309.38,53.16,4.71,5.0,5.17,7.93
Twitter,118.03,52.68,2.68,4.97,6.38,3.65
Facebook,193.69,77.02,7.01,4.4,4.11,5.43
Snapchat,382.52,90.06,1.87,5.31,5.28,7.69
YouTube,63.11,115.93,5.37,7.54,4.91,3.38
Instagram,26.36,94.12,7.88,3.89,3.15,3.04
Facebook,211.43,75.15,6.38,6.86,4.77,6.49
Twitter,215.7,59.47,9.9,2.6,4.71,5.2
YouTube,111.35,104.6,8.05,4.88,4.67,4.02
YouTube,93.77,60.71,4.69,5.34,5.06,3.74
Instagram,171.11,112.57,6.05,9.35,5.15,5.72
Twitter,62.02,74.31,5.91,5.45,4.14,3.48
Snapchat,62.12,111.81,2.84,1.6,7.55,1.54
YouTube,270.66,93.58,4.12,2.0,2.66,5.65
Instagram,58.0,77.26,4.88,6.07,3.56,3.56
Snapchat,28.4,69.61,1.93,7.23,10.0,1.0
Twitter,93.6,73.18,6.09,6.75,2.92,4.75
YouTube,113.61,88.57,5.5,6.34,2.29,4.96
Snapchat,233.72,81.54,2.65,8.32,6.47,6.22
Snapchat,100.82,68.12,6.81,4.92,1.0,5.11
Snapchat,425.99,76.69,7.43,7.79,4.53,10.0
YouTube,177.93,81.57,6.45,2.74,9.29,2.94
YouTube,82.58,37.43,5.35,4.19,1.91,4.63
Facebook,226.73,89.16,7.18,2.39,1.04,5.91
Twitter,420.99,60.41,7.36,5.45,2.0,10.0
Instagram,265.53,56.93,6.61,5.91,6.8,7.15
Snapchat,38.19,46.25,4.35,6.23,7.25,2.26
Facebook,121.85,44.12,6.55,6.12,3.97,5.52
Instagram,201.1,52.89,8.39,4.14,6.37,5.37
Facebook,257.91,65.82,4.81,5.62,7.78,5.99
YouTube,144.12,119.07,10.0,3.01,8.57,2.83
Snapchat,128.6,69.48,4.95,8.73,4.51,5.41
Instagram,522.45,83.56,6.06,5.39,1.0,10.0
Instagram,268.27,88.01,4.66,5.02,3.36,6.67
Instagram,227.23,82.62,6.45,9.18,4.15,7.74
Instagram,104.48,78.45,2.52,3.52,4.48,3.35
Instagram,61.16,56.09,4.91,3.75,4.62,3.0
Facebook,230.09,109.02,3.82,3.81,7.24,4.22
Snapchat,288.81,116.14,6.27,5.86,7.55,5.82
YouTube,165.95,46.35,7.99,6.86,4.66,6.82
YouTube,268.77,59.52,7.29,7.48,7.2,8.0
YouTube,273.55,74.4,1.26,10.0,5.72,7.95
YouTube,302.07,60.71,10.0,1.5,5.13,5.53
Facebook,37.48,90.12,6.59,7.22,6.81,2.58
Twitter,124.69,65.43,4.45,4.89,5.14,4.07
Snapchat,240.02,123.3,6.31,4.83,9.12,4.21
Instagram,173.18,103.81,6.35,4.76,2.12,5.49
Twitter,274.14,84.25,4.67,4.18,3.97,6.3
YouTube,227.14,100.54,6.4,9.37,4.75,7.16
Twitter,14.59,102.12,4.79,7.68,5.88,2.23
